date_started,date_ended,disaster_type,incident_type,incident_title,days_lasted,county,state,state_abbr,division_name,region_name,fip_code
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Shelby County,Ohio,OH,East North Central,Midwest,OH-149
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Van Wert County,Ohio,OH,East North Central,Midwest,OH-161
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Van Wert County,Ohio,OH,East North Central,Midwest,OH-161
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Harrison County,Ohio,OH,East North Central,Midwest,OH-067
1969-07-15,1969-07-15,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Harrison County,Ohio,OH,East North Central,Midwest,OH-067
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Harrison County,Ohio,OH,East North Central,Midwest,OH-067
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Highland County,Ohio,OH,East North Central,Midwest,OH-071
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Highland County,Ohio,OH,East North Central,Midwest,OH-071
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Lucas County,Ohio,OH,East North Central,Midwest,OH-095
1969-07-15,1969-07-15,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Lucas County,Ohio,OH,East North Central,Midwest,OH-095
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Lucas County,Ohio,OH,East North Central,Midwest,OH-095
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Lorain County,Ohio,OH,East North Central,Midwest,OH-093
1969-07-15,1969-07-15,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Lorain County,Ohio,OH,East North Central,Midwest,OH-093
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Lorain County,Ohio,OH,East North Central,Midwest,OH-093
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Mercer County,Ohio,OH,East North Central,Midwest,OH-107
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Mercer County,Ohio,OH,East North Central,Midwest,OH-107
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Medina County,Ohio,OH,East North Central,Midwest,OH-103
1969-07-15,1969-07-15,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Medina County,Ohio,OH,East North Central,Midwest,OH-103
2003-07-21,2003-08-25,DR,Tornado,"Tornadoes, Flooding, Severe Storms, And High Winds",35.0,Medina County,Ohio,OH,East North Central,Midwest,OH-103
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Medina County,Ohio,OH,East North Central,Midwest,OH-103
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Cuyahoga County,Ohio,OH,East North Central,Midwest,OH-035
1969-07-15,1969-07-15,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Cuyahoga County,Ohio,OH,East North Central,Midwest,OH-035
